attendance_pct,trend,consistency,attentiveness,total_present,total_sessions,total_absent,reason_medical,reason_family,reason_academic,reason_sports,reason_internship,outcome
56.2,improving,medium,Low,27,48,21,3,2,0,0,0,failed
79.2,declining,medium,Medium,38,48,10,0,1,2,0,4,passed
92.9,improving,high,High,39,42,3,0,0,3,0,1,passed
64.0,improving,high,High,32,50,18,1,0,3,3,0,passed
75.0,stable,medium,High,36,48,12,1,2,0,0,1,passed
80.0,declining,low,Low,40,50,10,3,2,0,1,0,failed
73.8,declining,medium,Medium,31,42,11,3,3,0,0,0,failed
87.5,improving,high,Medium,35,40,5,0,0,1,0,0,passed
85.4,stable,high,High,41,48,7,1,2,2,2,3,passed
64.0,improving,medium,Low,32,50,18,5,4,0,1,0,failed
82.0,declining,medium,Low,41,50,9,2,2,1,1,1,failed
85.7,declining,low,Low,36,42,6,3,0,0,1,0,failed
75.6,improving,high,Medium,34,45,11,0,1,3,1,0,passed
65.0,improving,low,Medium,26,40,14,0,4,0,0,0,failed
90.0,improving,high,High,36,40,4,2,0,0,1,1,passed
65.0,stable,medium,Low,26,40,14,6,2,2,0,1,failed
71.4,improving,high,High,30,42,12,2,2,2,0,4,passed
82.5,improving,high,High,33,40,7,0,1,3,0,4,passed
91.7,improving,medium,Low,44,48,4,0,1,1,1,1,passed
92.0,declining,medium,High,46,50,4,2,0,1,2,1,passed
72.5,improving,high,High,29,40,11,0,0,2,4,1,passed
92.0,improving,medium,High,46,50,4,2,1,2,1,2,passed
77.5,improving,high,Medium,31,40,9,0,1,1,6,1,passed
77.8,improving,high,High,35,45,10,0,0,1,3,0,passed
73.8,improving,medium,Medium,31,42,11,1,2,3,1,1,passed
91.1,stable,high,Low,41,45,4,1,1,0,4,1,passed
55.0,declining,medium,Medium,22,40,18,0,4,0,1,0,failed
70.0,declining,medium,Low,28,40,12,6,0,0,0,0,failed
92.0,improving,medium,High,46,50,4,1,2,5,1,1,passed
84.0,stable,low,Low,42,50,8,1,0,0,0,0,failed
95.8,stable,high,High,46,48,2,1,1,1,2,3,passed
90.0,declining,high,High,45,50,5,1,2,3,0,0,passed
73.3,stable,low,High,33,45,12,1,0,1,1,1,passed
89.6,improving,high,High,43,48,5,0,0,4,3,1,passed
90.0,declining,medium,High,36,40,4,4,1,0,2,0,failed
66.0,stable,low,High,33,50,17,1,0,0,0,1,passed
75.0,declining,medium,Medium,36,48,12,1,0,1,5,1,passed
70.0,improving,low,Low,35,50,15,0,1,0,0,0,failed
92.5,stable,low,High,37,40,3,1,0,5,2,0,passed
95.2,improving,high,High,40,42,2,2,0,4,2,0,passed
95.6,improving,medium,Low,43,45,2,0,1,1,4,1,passed
66.7,stable,low,Low,28,42,14,6,1,1,0,0,failed
84.0,stable,low,High,42,50,8,1,0,3,1,3,passed
95.2,stable,low,Low,40,42,2,2,1,0,2,0,failed
73.8,improving,high,High,31,42,11,2,2,1,2,1,passed
88.1,stable,high,High,37,42,5,3,0,2,2,3,passed
66.0,improving,medium,Medium,33,50,17,2,0,0,2,3,passed
83.3,improving,high,Medium,35,42,7,2,0,2,4,0,passed
80.0,improving,high,High,32,40,8,1,1,0,0,3,passed
80.0,improving,medium,High,40,50,10,1,0,2,4,1,passed
84.4,improving,high,High,38,45,7,1,1,1,1,2,passed
76.2,declining,medium,Low,32,42,10,2,1,0,0,1,failed
87.5,stable,medium,Medium,42,48,6,0,1,1,4,0,passed
83.3,improving,medium,Medium,35,42,7,1,1,2,3,1,passed
52.5,stable,low,Low,21,40,19,0,1,1,0,0,failed
80.0,declining,low,Medium,40,50,10,1,4,2,2,0,failed
88.9,improving,high,Medium,40,45,5,0,1,2,1,2,passed
86.0,stable,high,High,43,50,7,1,1,2,2,2,passed
88.9,improving,high,Medium,40,45,5,1,2,0,0,2,passed
86.7,improving,high,High,39,45,6,3,0,0,2,1,passed
75.6,stable,low,High,34,45,11,1,0,1,0,1,passed
87.5,improving,medium,High,42,48,6,1,0,1,6,1,passed
77.8,improving,low,Low,35,45,10,2,0,0,2,4,passed
87.5,improving,high,Medium,35,40,5,0,1,0,0,3,passed
84.4,stable,medium,High,38,45,7,3,2,1,3,0,passed
90.0,improving,medium,Medium,36,40,4,0,0,0,1,0,passed
75.0,stable,medium,High,30,40,10,1,2,0,3,3,passed
82.0,stable,high,Low,41,50,9,2,0,0,3,1,passed
75.0,improving,high,Medium,30,40,10,1,1,1,2,0,passed
94.0,improving,medium,Medium,47,50,3,1,1,2,0,1,passed
92.9,stable,high,Medium,39,42,3,0,0,0,5,2,passed
68.8,stable,high,High,33,48,15,1,1,2,2,1,passed
64.4,stable,low,Low,29,45,16,2,4,0,0,0,failed
67.5,stable,low,Medium,27,40,13,0,3,0,1,0,failed
50.0,declining,low,Low,24,48,24,3,0,2,1,0,failed
90.5,stable,low,High,38,42,4,0,0,2,0,2,passed
50.0,declining,medium,Low,20,40,20,1,1,0,2,0,failed
67.5,stable,high,High,27,40,13,1,0,2,1,0,passed
80.0,improving,high,Medium,40,50,10,1,1,0,1,1,passed
70.0,stable,medium,Medium,28,40,12,0,0,1,1,0,passed
76.0,stable,medium,Medium,38,50,12,0,2,0,0,3,passed
53.3,declining,low,Low,24,45,21,0,0,0,1,0,failed
86.7,stable,high,Medium,39,45,6,1,0,1,1,0,passed
76.2,stable,medium,High,32,42,10,2,0,4,2,0,passed
70.0,improving,high,Medium,28,40,12,1,0,3,1,2,passed
96.0,declining,medium,Medium,48,50,2,1,2,2,0,0,passed
70.8,declining,low,Medium,34,48,14,0,1,0,0,0,failed
95.0,stable,high,Medium,38,40,2,2,2,1,3,2,passed
66.7,declining,low,Low,30,45,15,4,3,2,0,0,failed
62.5,improving,high,High,25,40,15,0,0,0,1,0,passed
90.0,stable,high,High,45,50,5,1,0,0,4,4,passed
70.0,stable,low,Medium,35,50,15,1,4,0,0,0,failed
85.0,improving,medium,Medium,34,40,6,1,1,2,2,1,passed
89.6,improving,high,Low,43,48,5,0,1,0,6,0,passed
88.9,improving,medium,Medium,40,45,5,2,0,1,3,0,passed
72.9,improving,high,High,35,48,13,2,1,0,1,2,passed
81.2,stable,medium,High,39,48,9,0,2,3,4,0,passed
84.0,declining,medium,Low,42,50,8,2,4,1,1,0,failed
53.3,declining,medium,Low,24,45,21,4,1,0,0,0,failed
81.2,stable,low,Low,39,48,9,1,1,0,0,0,failed
90.0,improving,high,High,45,50,5,0,0,2,1,0,passed
90.0,stable,medium,High,36,40,4,1,0,0,0,0,passed
88.1,stable,medium,High,37,42,5,0,0,0,1,2,passed
81.2,stable,high,High,39,48,9,1,1,2,1,0,passed
88.9,improving,medium,High,40,45,5,3,0,1,2,4,passed
76.0,declining,high,High,38,50,12,0,1,1,0,0,passed
95.0,stable,high,High,38,40,2,1,1,0,3,1,passed
89.6,stable,high,Medium,43,48,5,1,0,0,0,0,passed
75.6,declining,medium,High,34,45,11,2,0,1,3,3,passed
77.8,stable,high,High,35,45,10,1,2,1,0,2,passed
80.0,declining,low,Low,36,45,9,0,2,1,0,0,failed
82.5,improving,high,Medium,33,40,7,0,0,1,3,3,passed
90.0,stable,low,Low,45,50,5,0,2,0,1,0,failed
95.0,stable,medium,High,38,40,2,0,1,1,1,1,passed
74.0,improving,high,High,37,50,13,0,0,1,1,0,passed
75.0,improving,medium,Low,30,40,10,0,1,2,0,1,passed
70.8,improving,high,High,34,48,14,1,2,3,5,4,passed
71.1,declining,medium,Medium,32,45,13,1,2,1,0,0,failed
83.3,improving,high,Medium,35,42,7,0,1,1,3,1,passed
76.0,stable,low,Low,38,50,12,2,1,0,0,0,failed
75.6,improving,medium,High,34,45,11,2,1,2,0,4,passed
75.0,declining,medium,High,36,48,12,0,0,4,0,3,passed
74.0,declining,medium,Low,37,50,13,3,0,0,0,0,failed
66.7,declining,medium,Low,28,42,14,6,1,2,0,1,failed
95.0,stable,medium,Medium,38,40,2,2,0,2,1,1,passed
73.3,stable,medium,Low,33,45,12,2,1,0,0,0,failed
81.2,stable,high,Medium,39,48,9,1,2,5,0,1,passed
84.0,improving,high,High,42,50,8,0,0,4,4,1,passed
81.0,declining,medium,High,34,42,8,0,2,1,4,1,passed
92.5,stable,low,High,37,40,3,0,0,1,4,2,passed
72.9,improving,high,High,35,48,13,0,0,1,0,0,passed
66.0,improving,high,High,33,50,17,2,0,5,2,0,passed
80.0,stable,high,Low,32,40,8,2,0,1,2,0,passed
64.3,declining,low,Medium,27,42,15,5,0,2,0,0,failed
68.0,stable,medium,Low,34,50,16,2,2,0,1,0,failed
97.5,declining,low,Low,39,40,1,3,0,0,2,1,failed
86.0,stable,medium,High,43,50,7,1,1,3,0,2,passed
70.0,declining,medium,Low,28,40,12,2,1,0,0,0,failed
91.7,stable,high,High,44,48,4,0,0,2,2,0,passed
66.7,improving,high,High,28,42,14,2,1,3,1,1,passed
88.1,improving,low,Low,37,42,5,2,1,2,1,1,passed
80.0,declining,medium,Medium,40,50,10,3,1,2,1,2,failed
88.1,improving,medium,High,37,42,5,1,0,1,0,1,passed
88.0,improving,medium,Medium,44,50,6,0,1,1,2,0,passed
85.4,improving,medium,High,41,48,7,3,2,0,2,3,passed
72.9,improving,low,High,35,48,13,1,2,0,2,1,passed
67.5,stable,low,Medium,27,40,13,6,5,0,0,1,failed
80.0,improving,low,Medium,36,45,9,8,1,2,0,0,failed
52.4,declining,medium,Medium,22,42,20,1,1,0,0,0,failed
77.8,stable,high,Medium,35,45,10,2,1,1,0,2,passed
81.0,declining,low,High,34,42,8,2,1,0,0,0,failed
80.0,stable,medium,High,40,50,10,0,0,1,2,3,passed
77.8,stable,low,High,35,45,10,0,2,1,1,4,passed
82.2,stable,high,High,37,45,8,1,0,0,3,3,passed
62.5,declining,medium,Low,25,40,15,0,3,2,0,0,failed
81.0,stable,high,High,34,42,8,1,0,1,3,1,passed
78.0,stable,medium,Medium,39,50,11,0,0,0,0,0,passed
85.0,improving,high,Low,34,40,6,2,0,4,0,1,passed
81.0,declining,medium,High,34,42,8,3,0,3,4,1,passed
82.0,declining,high,Low,41,50,9,0,0,5,3,2,passed
75.6,stable,high,High,34,45,11,0,0,0,0,3,passed
77.5,stable,medium,Low,31,40,9,2,0,0,2,1,passed
95.0,improving,high,High,38,40,2,2,1,0,6,0,passed
98.0,stable,medium,High,49,50,1,0,0,2,0,0,passed
92.5,stable,medium,High,37,40,3,1,1,0,1,1,passed
81.2,improving,high,High,39,48,9,0,1,1,3,0,passed
78.6,declining,medium,Low,33,42,9,1,0,0,0,1,passed
64.6,improving,low,Medium,31,48,17,1,2,0,1,0,failed
86.0,stable,high,Medium,43,50,7,0,2,0,4,4,passed
72.5,declining,low,Low,29,40,11,4,1,0,0,0,failed
60.4,stable,medium,Low,29,48,19,2,0,2,0,1,failed
81.0,improving,medium,High,34,42,8,0,0,4,2,1,passed
97.6,improving,medium,High,41,42,1,1,2,1,3,1,passed
64.6,declining,medium,Medium,31,48,17,2,0,1,2,2,failed
82.0,stable,low,Medium,41,50,9,2,0,3,0,2,passed
82.5,improving,high,Medium,33,40,7,2,2,2,0,1,passed
81.2,stable,high,Low,39,48,9,0,1,2,3,3,passed
87.5,stable,high,Medium,35,40,5,0,0,3,0,4,passed
68.8,declining,medium,Low,33,48,15,5,2,1,1,0,failed
75.0,improving,medium,Medium,36,48,12,0,1,2,1,4,passed
82.5,declining,medium,Low,33,40,7,3,2,0,2,0,failed
68.9,declining,high,Low,31,45,14,1,4,0,1,0,failed
68.8,stable,low,Low,33,48,15,5,2,0,0,0,failed
80.0,declining,high,High,32,40,8,2,0,3,5,1,passed
75.6,improving,low,High,34,45,11,0,2,1,2,2,passed
80.0,improving,high,High,32,40,8,0,0,3,0,1,passed
91.1,improving,high,High,41,45,4,0,0,0,1,1,passed
85.4,improving,medium,Medium,41,48,7,2,2,0,1,2,passed
76.0,declining,low,Medium,38,50,12,2,0,0,0,0,failed
81.2,improving,medium,High,39,48,9,2,1,1,2,1,passed
64.3,stable,high,High,27,42,15,2,0,1,3,3,passed
58.0,improving,medium,High,29,50,21,0,2,4,1,2,passed
79.2,declining,low,Medium,38,48,10,4,1,2,0,2,failed
83.3,stable,low,High,35,42,7,1,0,0,2,2,passed
89.6,improving,high,High,43,48,5,0,0,1,1,1,passed
90.0,stable,low,Medium,45,50,5,1,1,1,4,1,passed
90.0,improving,medium,High,36,40,4,1,1,2,2,4,passed
88.9,declining,high,Medium,40,45,5,2,1,0,0,0,failed
75.0,stable,medium,High,36,48,12,3,0,0,4,0,passed
71.4,improving,medium,High,30,42,12,0,0,2,1,0,passed
75.0,improving,medium,Medium,30,40,10,1,0,5,0,0,passed
76.2,improving,high,Medium,32,42,10,1,0,2,1,2,passed
81.0,improving,high,High,34,42,8,0,1,3,2,2,passed
62.0,improving,high,High,31,50,19,2,1,2,2,1,passed
92.0,improving,high,High,46,50,4,1,1,4,2,2,passed
68.9,improving,high,High,31,45,14,1,0,0,1,0,passed
74.0,declining,low,Low,37,50,13,2,0,0,0,0,failed
80.0,declining,medium,Low,36,45,9,3,2,0,0,0,failed
79.2,improving,high,Medium,38,48,10,0,0,1,0,1,passed
87.5,improving,high,Medium,42,48,6,2,0,3,0,2,passed
62.0,improving,medium,High,31,50,19,0,2,0,1,3,passed
75.0,declining,medium,High,30,40,10,2,1,1,3,1,passed
92.9,stable,medium,Medium,39,42,3,1,1,2,0,4,passed
66.7,improving,medium,Low,30,45,15,1,0,4,3,3,passed
73.3,improving,low,Medium,33,45,12,4,3,1,1,0,failed
80.0,stable,high,High,40,50,10,2,1,1,3,2,passed
82.2,improving,medium,Medium,37,45,8,2,0,5,2,2,passed
77.5,improving,low,Medium,31,40,9,1,0,0,2,0,passed
85.4,declining,medium,High,41,48,7,1,1,0,4,0,passed
81.2,declining,high,Medium,39,48,9,0,1,0,4,0,passed
64.4,stable,low,Medium,29,45,16,2,1,0,0,0,failed
65.0,improving,high,High,26,40,14,1,0,2,3,4,passed
81.2,improving,high,High,39,48,9,2,0,1,1,1,passed
76.2,stable,high,Medium,32,42,10,1,0,1,0,2,passed
87.5,improving,high,Medium,42,48,6,0,0,2,1,1,passed
71.4,improving,high,High,30,42,12,1,0,4,0,2,passed
88.9,stable,high,High,40,45,5,1,1,3,0,1,passed
83.3,stable,medium,Low,35,42,7,3,2,0,4,1,passed
93.3,improving,high,Low,42,45,3,0,1,0,0,3,passed
79.2,stable,medium,High,38,48,10,1,0,1,2,0,passed
86.7,declining,low,High,39,45,6,0,1,3,2,1,passed
75.6,stable,medium,High,34,45,11,0,0,1,2,0,passed
54.8,stable,medium,High,23,42,19,3,1,3,3,0,passed
78.6,declining,medium,High,33,42,9,2,0,1,2,0,passed
72.0,declining,low,High,36,50,14,5,0,0,1,1,failed
75.0,stable,high,Medium,30,40,10,0,0,1,0,3,passed
55.0,declining,low,Low,22,40,18,1,1,1,0,0,failed
88.9,stable,high,High,40,45,5,1,0,1,4,3,passed
95.6,stable,high,High,43,45,2,1,0,2,1,1,passed
97.9,declining,low,Low,47,48,1,4,0,2,0,0,failed
80.0,improving,low,Low,32,40,8,4,0,0,0,0,failed
72.5,improving,medium,High,29,40,11,1,3,0,1,0,failed
90.0,stable,medium,High,36,40,4,1,0,2,0,0,passed
77.8,declining,low,Low,35,45,10,2,0,2,0,1,failed
85.0,improving,high,High,34,40,6,1,2,0,1,0,passed
77.5,stable,high,Medium,31,40,9,1,0,3,0,2,passed
68.9,improving,high,Medium,31,45,14,0,2,3,2,1,passed
80.0,stable,high,High,32,40,8,2,2,0,3,1,passed
87.5,improving,medium,High,35,40,5,0,2,1,0,3,passed
80.0,declining,high,Low,36,45,9,1,1,1,1,1,passed
84.4,improving,high,Medium,38,45,7,0,1,0,1,1,passed
88.0,improving,high,High,44,50,6,1,1,0,6,1,passed
82.5,declining,low,Low,33,40,7,2,4,0,0,0,failed
88.9,improving,medium,High,40,45,5,2,0,1,2,0,passed
85.7,stable,high,Medium,36,42,6,2,0,5,0,2,passed
79.2,stable,medium,High,38,48,10,1,1,2,4,0,passed
93.3,stable,medium,High,42,45,3,3,2,1,1,1,passed
60.0,improving,high,High,24,40,16,0,1,3,1,0,passed
71.1,improving,medium,High,32,45,13,0,1,1,0,2,passed
85.4,improving,high,Low,41,48,7,1,0,2,1,0,passed
96.0,declining,medium,High,48,50,2,1,0,1,2,0,passed
75.0,declining,low,Low,30,40,10,7,0,0,2,2,failed
81.0,improving,high,High,34,42,8,0,0,1,2,4,passed
68.9,improving,high,High,31,45,14,0,0,0,1,2,passed
88.1,improving,high,High,37,42,5,0,0,3,2,2,passed
88.1,stable,high,High,37,42,5,0,0,1,4,0,passed
87.5,declining,high,Medium,35,40,5,1,0,0,4,0,passed
83.3,improving,high,High,40,48,8,1,1,2,1,0,passed
90.5,improving,medium,High,38,42,4,0,0,0,3,1,passed
81.2,improving,high,High,39,48,9,0,1,1,1,1,passed
82.2,stable,high,Medium,37,45,8,0,0,0,1,0,passed
82.2,improving,medium,High,37,45,8,1,1,1,3,0,passed
82.5,stable,high,High,33,40,7,2,0,3,1,0,passed
72.5,declining,low,Low,29,40,11,3,0,1,0,2,failed
69.0,improving,medium,Low,29,42,13,2,5,0,1,0,failed
62.5,improving,high,Medium,25,40,15,1,2,0,3,1,passed
66.7,improving,high,High,32,48,16,3,0,0,3,2,passed
80.0,declining,medium,Low,40,50,10,3,1,0,0,0,failed
83.3,declining,high,High,40,48,8,1,2,3,0,2,passed
60.0,declining,low,Low,27,45,18,7,0,0,1,1,failed
68.9,improving,high,High,31,45,14,0,1,2,3,3,passed
72.5,stable,medium,Low,29,40,11,0,3,1,0,0,failed
71.4,stable,low,Low,30,42,12,4,1,1,0,0,failed
65.0,stable,low,Low,26,40,14,7,1,0,0,1,failed
71.1,declining,medium,Medium,32,45,13,1,2,2,1,0,failed
73.8,improving,high,Medium,31,42,11,2,0,4,2,1,passed
87.5,stable,low,Medium,35,40,5,1,0,3,4,1,passed
64.3,improving,medium,High,27,42,15,0,1,2,3,1,passed
82.0,improving,high,High,41,50,9,3,1,3,1,2,passed
51.1,declining,medium,High,23,45,22,5,3,0,0,0,failed
77.5,declining,high,High,31,40,9,0,0,2,2,0,passed
92.9,stable,high,Low,39,42,3,0,0,0,2,1,passed
51.1,improving,medium,Low,23,45,22,4,0,0,0,0,failed
75.6,declining,high,Medium,34,45,11,0,1,1,0,0,passed
90.0,stable,high,High,45,50,5,0,1,1,1,3,passed
88.1,improving,high,Medium,37,42,5,2,0,1,3,2,passed
60.4,declining,medium,High,29,48,19,2,0,1,0,0,failed
80.0,improving,high,High,32,40,8,1,0,1,3,4,passed
77.8,stable,high,High,35,45,10,1,0,3,1,0,passed
64.0,stable,low,Medium,32,50,18,1,2,0,0,1,failed
66.7,stable,high,High,28,42,14,2,2,1,0,2,passed
76.2,improving,medium,High,32,42,10,1,1,1,2,2,passed
84.0,declining,medium,Medium,42,50,8,0,1,1,1,1,passed
79.2,improving,medium,High,38,48,10,1,0,1,2,2,passed
64.6,improving,low,Medium,31,48,17,0,0,0,0,0,failed
52.0,stable,medium,Medium,26,50,24,2,4,0,0,0,failed
80.0,declining,medium,Medium,32,40,8,0,0,1,3,0,passed
82.2,improving,low,High,37,45,8,0,1,3,4,1,passed
91.1,improving,low,Medium,41,45,4,0,0,2,1,3,passed
56.0,declining,medium,Medium,28,50,22,0,1,0,1,0,failed
68.8,declining,low,Medium,33,48,15,3,0,2,0,0,failed
88.0,stable,high,Medium,44,50,6,2,1,3,4,2,passed
88.1,improving,low,High,37,42,5,0,1,0,4,1,passed
94.0,improving,low,Medium,47,50,3,1,1,2,1,2,passed
58.3,declining,medium,Low,28,48,20,3,5,0,0,0,failed
85.4,declining,high,High,41,48,7,0,2,0,0,1,passed
83.3,improving,high,Medium,40,48,8,0,0,1,6,2,passed
92.5,improving,medium,High,37,40,3,0,1,2,1,1,passed
61.9,declining,medium,Low,26,42,16,4,3,0,1,0,failed
75.6,improving,medium,High,34,45,11,0,1,4,1,1,passed
85.0,improving,high,Medium,34,40,6,1,0,2,0,3,passed
85.4,stable,high,High,41,48,7,2,0,2,2,0,passed
75.0,stable,medium,Low,36,48,12,0,1,2,1,1,passed
90.0,declining,medium,High,45,50,5,2,0,2,2,0,passed
58.3,declining,low,Medium,28,48,20,2,1,0,1,0,failed
60.0,declining,medium,Low,30,50,20,5,2,2,0,0,failed
82.0,stable,low,High,41,50,9,1,2,0,2,1,passed
77.5,stable,medium,Low,31,40,9,1,1,3,2,3,passed
87.5,stable,high,High,42,48,6,1,0,3,0,0,passed
80.0,improving,medium,High,36,45,9,1,0,1,2,2,passed
72.0,declining,low,Medium,36,50,14,4,3,0,1,1,failed
91.7,stable,medium,Low,44,48,4,0,1,0,4,3,passed
79.2,declining,medium,Medium,38,48,10,2,1,2,3,4,passed
75.6,declining,high,Low,34,45,11,1,0,0,1,0,passed
95.2,improving,high,Medium,40,42,2,0,0,1,0,3,passed
64.0,stable,low,Low,32,50,18,0,2,0,2,0,failed
78.0,stable,high,High,39,50,11,2,1,1,1,4,passed
86.0,declining,medium,Low,43,50,7,0,1,1,4,1,passed
76.0,improving,low,High,38,50,12,2,0,0,3,0,passed
70.0,stable,low,Low,35,50,15,0,3,0,0,1,failed
85.7,declining,low,Low,36,42,6,1,2,0,1,1,failed
73.8,declining,low,Low,31,42,11,3,4,1,0,0,failed
88.9,improving,high,High,40,45,5,0,1,4,1,1,passed
62.5,improving,low,Low,30,48,18,3,2,1,0,0,failed
82.5,stable,high,Medium,33,40,7,1,0,4,1,2,passed
72.5,improving,high,High,29,40,11,2,1,4,0,2,passed
84.4,improving,low,Medium,38,45,7,0,2,0,0,0,failed
90.5,declining,high,High,38,42,4,1,1,0,0,2,passed
76.2,stable,medium,High,32,42,10,2,2,1,2,0,passed
80.0,improving,medium,Low,32,40,8,0,1,0,1,0,passed
54.8,declining,low,Medium,23,42,19,3,2,0,0,0,failed
62.5,declining,low,Low,25,40,15,1,1,0,0,0,failed
85.4,improving,medium,High,41,48,7,1,1,3,0,1,passed
80.0,stable,medium,Medium,36,45,9,2,1,3,2,2,passed
92.9,stable,medium,Low,39,42,3,1,1,1,0,2,passed
86.7,stable,high,High,39,45,6,0,0,4,6,2,passed
72.0,improving,high,High,36,50,14,2,0,2,4,0,passed
75.0,improving,high,Medium,36,48,12,1,1,1,4,3,passed
80.0,declining,low,Low,32,40,8,5,3,0,0,0,failed
72.9,improving,medium,High,35,48,13,0,2,1,1,3,passed
64.6,declining,high,Low,31,48,17,2,0,0,0,0,failed
83.3,stable,high,High,35,42,7,2,1,1,1,0,passed
88.1,improving,high,High,37,42,5,1,0,1,4,0,passed
95.2,improving,low,Medium,40,42,2,1,0,2,2,0,passed
82.5,stable,high,High,33,40,7,0,0,0,2,2,passed
90.0,improving,medium,High,45,50,5,1,1,0,1,0,passed
76.2,declining,medium,Medium,32,42,10,1,0,4,2,3,passed
76.0,improving,high,High,38,50,12,1,1,3,3,1,passed
92.0,declining,medium,High,46,50,4,2,0,3,1,2,passed
88.0,improving,high,High,44,50,6,2,0,3,1,0,passed
87.5,improving,high,Medium,35,40,5,1,0,1,0,2,passed
57.8,declining,low,Low,26,45,19,8,1,0,0,0,failed
81.0,stable,high,High,34,42,8,0,1,2,4,2,passed
90.5,stable,high,High,38,42,4,1,0,2,2,2,passed
88.1,stable,medium,Medium,37,42,5,1,1,0,1,1,passed
86.0,improving,low,Medium,43,50,7,1,1,2,4,2,passed
91.7,improving,medium,Medium,44,48,4,0,0,2,2,0,passed
66.7,stable,low,Low,28,42,14,0,1,0,1,0,failed
78.6,stable,high,High,33,42,9,0,1,4,1,4,passed
91.1,declining,high,High,41,45,4,0,0,1,2,1,passed
91.1,stable,low,Medium,41,45,4,2,1,2,5,1,passed
52.4,declining,low,Low,22,42,20,3,0,0,0,0,failed
50.0,stable,medium,Low,21,42,21,2,0,1,0,0,failed
71.1,stable,high,High,32,45,13,2,0,4,2,3,passed
81.2,improving,high,High,39,48,9,0,1,3,1,2,passed
75.0,declining,low,Low,30,40,10,4,1,0,0,0,failed
75.0,declining,low,Medium,36,48,12,1,3,0,0,1,failed
73.8,stable,high,High,31,42,11,1,0,2,0,4,passed
82.0,stable,high,High,41,50,9,1,0,2,1,1,passed
52.4,declining,medium,Medium,22,42,20,2,1,1,0,0,failed
89.6,improving,medium,High,43,48,5,0,0,0,1,1,passed
76.2,stable,high,High,32,42,10,1,0,3,2,1,passed
86.7,improving,medium,Medium,39,45,6,0,1,0,3,1,passed
60.0,stable,medium,Low,24,40,16,6,1,0,0,1,failed
78.0,stable,medium,High,39,50,11,2,0,2,1,2,passed
92.5,improving,medium,High,37,40,3,0,1,1,2,1,passed
75.0,improving,high,Medium,30,40,10,1,1,1,4,2,passed
86.7,stable,high,High,39,45,6,2,0,0,1,2,passed
82.5,improving,high,Low,33,40,7,1,0,3,2,4,passed
67.5,improving,high,Medium,27,40,13,0,0,0,2,0,passed
97.6,stable,low,High,41,42,1,1,2,1,1,1,passed
84.0,stable,medium,Medium,42,50,8,1,1,2,1,0,passed
96.0,improving,high,High,48,50,2,0,0,1,3,0,passed
66.7,improving,medium,Medium,30,45,15,1,0,1,1,0,passed
